  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:03 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:39 [rcu_sched]
    8 ?        S      0:10 [rcuos/0]
    9 ?        S      0:04 [rcuos/1]
   10 ?        S      0:04 [rcuos/2]
   11 ?        S      0:04 [rcuos/3]
   12 ?        S      0:00 [rcu_bh]
   13 ?        S      0:00 [rcuob/0]
   14 ?        S      0:00 [rcuob/1]
   15 ?        S      0:00 [rcuob/2]
   16 ?        S      0:00 [rcuob/3]
   17 ?        S      0:01 [migration/0]
   18 ?        S      0:00 [watchdog/0]
   19 ?        S      0:00 [watchdog/1]
   20 ?        S      0:01 [migration/1]
   21 ?        S      0:04 [ksoftirqd/1]
   22 ?        S      0:00 [kworker/1:0]
   23 ?        S<     0:00 [kworker/1:0H]
   24 ?        S      0:00 [watchdog/2]
   25 ?        S      0:01 [migration/2]
   26 ?        S      0:03 [ksoftirqd/2]
   28 ?        S<     0:00 [kworker/2:0H]
   29 ?        S      0:00 [watchdog/3]
   30 ?        S      0:00 [migration/3]
   31 ?        S      0:05 [ksoftirqd/3]
   33 ?        S<     0:00 [kworker/3:0H]
   34 ?        S<     0:00 [khelper]
   35 ?        S      0:00 [kdevtmpfs]
   36 ?        S<     0:00 [netns]
   37 ?        S      0:00 [khungtaskd]
   38 ?        S<     0:00 [writeback]
   39 ?        SN     0:00 [ksmd]
   40 ?        SN     0:03 [khugepaged]
   41 ?        S<     0:00 [crypto]
   42 ?        S<     0:00 [kintegrityd]
   43 ?        S<     0:00 [bioset]
   44 ?        S<     0:00 [kblockd]
   45 ?        S<     0:00 [ata_sff]
   46 ?        S      0:00 [khubd]
   47 ?        S<     0:00 [md]
   48 ?        S<     0:00 [devfreq_wq]
   50 ?        S      0:00 [kworker/0:1]
   53 ?        S      0:00 [kswapd0]
   54 ?        S      0:00 [fsnotify_mark]
   55 ?        S      0:00 [ecryptfs-kthrea]
   67 ?        S<     0:00 [kthrotld]
   68 ?        S<     0:00 [acpi_thermal_pm]
   69 ?        S      0:00 [scsi_eh_0]
   70 ?        S<     0:00 [scsi_tmf_0]
   71 ?        S      0:00 [scsi_eh_1]
   72 ?        S<     0:00 [scsi_tmf_1]
   74 ?        S      0:00 [kworker/3:1]
   75 ?        S<     0:00 [ipv6_addrconf]
   95 ?        S<     0:00 [deferwq]
   96 ?        S<     0:00 [charger_manager]
   98 ?        S      0:00 [kworker/2:1]
  145 ?        S<     0:00 [kpsmoused]
  147 ?        S      0:00 [scsi_eh_2]
  149 ?        S<     0:00 [scsi_tmf_2]
  152 ?        S      0:00 [kworker/2:2]
  156 ?        S<     0:00 [kworker/0:1H]
  164 ?        S<     0:00 [kdmflush]
  165 ?        S<     0:00 [bioset]
  167 ?        S<     0:00 [kdmflush]
  168 ?        S<     0:00 [bioset]
  183 ?        S      0:35 [jbd2/dm-0-8]
  184 ?        S<     0:00 [ext4-rsv-conver]
  365 ?        S      0:00 upstart-udev-bridge --daemon
